"GEONR";"GEONAME";"CLASS_HAB";"VARIABLE";"VALUE";"STATUS"
"CH";"Schweiz / Suisse";;"bew_mie_t";3731782;"A"
"CH";"Schweiz / Suisse";;"bew_mie_t_ic";0.3;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z1_t";152442;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z1_ic";1.7;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z2_t";505021;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z2_ic";0.9;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z3_t";1254242;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z3_ic";0.5;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z4_t";1335205;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z4_ic";0.6;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z5_t";381527;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z5_ic";1.2;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z6_t";103345;"A"
"CH";"Schweiz / Suisse";;"bew_mie_z6_ic";2.5;"A"
"2701";"Basel";6;"bew_mie_t";119329;"A"
"2701";"Basel";6;"bew_mie_t_ic";0.01;"A"
"2701";"Basel";6;"bew_mie_z1_t";7163;"A"
"2701";"Basel";6;"bew_mie_z1_ic";0.1;"A"
"2701";"Basel";6;"bew_mie_z2_t";23203;"A"
"2701";"Basel";6;"bew_mie_z2_ic";;"N"
"2701";"Basel";6;"bew_mie_z3_t";51962;"A"
"2701";"Basel";6;"bew_mie_z3_ic";;"N"
"2701";"Basel";6;"bew_mie_z4_t";28982;"A"
"2701";"Basel";6;"bew_mie_z4_ic";;"N"
"2701";"Basel";6;"bew_mie_z5_t";5974;"A"
"2701";"Basel";6;"bew_mie_z5_ic";0.1;"A"
"2701";"Basel";6;"bew_mie_z6_t";2045;"A"
"2701";"Basel";6;"bew_mie_z6_ic";0.2;"A"
"351";"Bern";6;"bew_mie_t";86163;"A"
"351";"Bern";6;"bew_mie_t_ic";0.02;"A"
"351";"Bern";6;"bew_mie_z1_t";4329;"A"
"351";"Bern";6;"bew_mie_z1_ic";0.1;"A"
"351";"Bern";6;"bew_mie_z2_t";14640;"A"
"351";"Bern";6;"bew_mie_z2_ic";;"N"
"351";"Bern";6;"bew_mie_z3_t";34823;"A"
"351";"Bern";6;"bew_mie_z3_ic";;"N"
"351";"Bern";6;"bew_mie_z4_t";23835;"A"
"351";"Bern";6;"bew_mie_z4_ic";;"N"
"351";"Bern";6;"bew_mie_z5_t";6312;"A"
"351";"Bern";6;"bew_mie_z5_ic";0.1;"A"
"351";"Bern";6;"bew_mie_z6_t";2224;"A"
"351";"Bern";6;"bew_mie_z6_ic";0.3;"A"
"6621";"Genève";6;"bew_mie_t";136319;"A"
"6621";"Genève";6;"bew_mie_t_ic";0.01;"A"
"6621";"Genève";6;"bew_mie_z1_t";10562;"A"
"6621";"Genève";6;"bew_mie_z1_ic";0.1;"A"
"6621";"Genève";6;"bew_mie_z2_t";26720;"A"
