ID;Strasse;Hausnr.;Adresse;PLZ;Gemeinde;Eventplätze;Nutzungsmöglichkeit;Gebiet;Stromanschluss;Nutzungsart;Gewichtsbeschränkung;Bild;Geo Shape;Geo Point
11788;Marktplatz;1;Marktplatz 1;9000;St. Gallen;Acrevis Bank Ostseite;"Standaktionen;Kleinere Anlässe";Marktplatz, Bohl;Strom vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/8c7e10eb72f76d6d53a1bde14b749d81;"{""coordinates"": [[[9.3759494741, 47.4259533563], [9.376044507, 47.4259898829], [9.3761318304, 47.4258852791], [9.3760368108, 47.4258487523], [9.3759494741, 47.4259533563]]], ""type"": ""Polygon""}";47.4259193185,9.37604065451
22792;Spisergasse;17;Spisergasse 17;9000;St. Gallen;Aepliplatz;Standaktionen;Mittlere Altstadt;Strom nicht vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/bfbdabd6e0143874de3a015344452c21;"{""coordinates"": [[[9.3778050829, 47.4247802379], [9.3778708541, 47.4247803129], [9.3778717578, 47.4247570862], [9.377804281, 47.4247582274], [9.3778050829, 47.4247802379]]], ""type"": ""Polygon""}";47.4247689156,9.37783828924
11776;Marktgasse;19;Marktgasse 19;9000;St. Gallen;Bärenplatz;Standaktionen;Mittlere Altstadt;Strom vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/05b3001fad858704908fbe311b6208b2;"{""coordinates"": [[[9.3763626907, 47.4249398521], [9.3764394668, 47.4249534454], [9.3765236412, 47.4249532216], [9.3765291948, 47.4248406771], [9.3763609235, 47.4248428956], [9.3763626907, 47.4249398521]]], ""type"": ""Polygon""}";47.424895649,9.37644605313
126081;Gutenbergstrasse;2;Gutenbergstrasse 2;9000;St. Gallen;Hauptpost;Standaktionen;Bahnhof, Neumarkt, Stadtlounge;Strom vorhanden;"Kommerzielle Nutzung;Nicht kommerzielle Nutzung";keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/e9ea4f93cd130d5a12bd22719ed8733e;"{""coordinates"": [[[9.370467402, 47.4226507834], [9.370503727, 47.4226645506], [9.3705239345, 47.4226414799], [9.3704883062, 47.4226275818], [9.370467402, 47.4226507834]]], ""type"": ""Polygon""}";47.4226461073,9.37049578332
11841;Marktgasse;9;Marktgasse 9;9000;St. Gallen;Marktgasse Brunnen;"Standaktionen;Kleinere Anlässe;Grosse Anlässe";Marktplatz, Bohl;Strom vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/ea0d5e7eaf841a23e542360412f3de96;"{""coordinates"": [[[[9.3763045072, 47.4255662614], [9.3762460147, 47.4255534855], [9.3762249939, 47.4255980574], [9.3762836561, 47.4256104076], [9.3763045072, 47.4255662614]]], [[[9.3763416956, 47.4254894795], [9.3762820168, 47.4254783341], [9.3762645085, 47.425517431], [9.3763224689, 47.4255297929], [9.3763416956, 47.4254894795]]]], ""type"": ""MultiPolygon""}";47.4255451315,9.37628271962
11782;Metzgergasse;2;Metzgergasse 2;9000;St. Gallen;Optiker Ryser;Standaktionen;Marktplatz, Bohl;Strom nicht vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/1e11db49656b4a571830f086187ca5a6;"{""coordinates"": [[[9.3760301224, 47.4265525874], [9.376080411, 47.4265238814], [9.3760211736, 47.4264761026], [9.375970886, 47.4265048175], [9.3760301224, 47.4265525874]]], ""type"": ""Polygon""}";47.4265143465,9.37602564815
11837;Raiffeisenplatz;2;Raiffeisenplatz 2;9000;St. Gallen;Stadtlounge / roter Platz;"Standaktionen;Kleinere Anlässe";Bahnhof, Neumarkt, Stadtlounge;Strom nicht vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/cd87212b403c36a5e85f131aa9f07370;"{""coordinates"": [[[9.3730279975, 47.4221573665], [9.3732460904, 47.4219811472], [9.3731030961, 47.4219549578], [9.3730279975, 47.4221573665]]], ""type"": ""Polygon""}";47.4220311572,9.37312572801
11765;Bankgasse;9;Bankgasse 9;9000;St. Gallen;Bankgasse, Ecke Gallusstrasse;"Standaktionen;Kleinere Anlässe";Südliche Altstadt;Strom nicht vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/55e759116563403fe7d8092d4989c65c;"{""coordinates"": [[[9.3757682997, 47.4231478382], [9.3758707574, 47.4231925538], [9.3758294329, 47.4231170612], [9.3757682997, 47.4231478382]]], ""type"": ""Polygon""}";47.4231524844,9.37582282999
11763;Marktgasse;11;Marktgasse 11;9000;St. Gallen;Blumenmarkt;Wird nur für asserordentlichen Anlässe zur Verfügung gestellt;Marktplatz, Bohl;Strom nicht vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/55f97c9e0b730ba6ab72bc91f965c17f;"{""coordinates"": [[[9.3749903973, 47.4258312998], [9.3750796234, 47.4257286537], [9.3748683563, 47.4255370156], [9.3746930317, 47.425768149], [9.3749903973, 47.4258312998]]], ""type"": ""Polygon""}";47.4257078491,9.37489274079
161496;Kornhausstrasse;6;Kornhausstrasse 6;9000;St. Gallen;Kornhausplatz;Standaktionen;Bahnhof, Neumarkt, Stadtlounge;Strom vorhanden;Nicht kommerzielle Nutzung;keine;https://daten.stadt.sg.ch/api/v2/catalog/datasets/eventplatze-offentlicher-raum-stadt-stgallen/files/a18e0d8b9d0aa82164b3cac691af252e;"{""coordinates"": [[[9.371134774, 47.4231670222], [9.3710963518, 47.4230748288], [9.3709225951, 47.423119391], [9.3710312104, 47.4232127919], [9.371134774, 47.4231670222]]], ""type"": ""Polygon""}";47.4231412153,9.37104141864
