Geo Point;Geo Shape;Art;Bedeutung;Typ
47.3992140267,9.31128137754;"{""coordinates"": [[[9.311282400824112, 47.39915107161576], [9.311275930351233, 47.399151176510316], [9.311269486520123, 47.399151586861734], [9.311263101113537, 47.39915230215479], [9.31125680313929, 47.399153318320565], [9.311250626870681, 47.399154630305034], [9.311244599896323, 47.399156231363335], [9.311238751097584, 47.39915811382991], [9.311233110648384, 47.39916026911848], [9.31122770465508, 47.39916268600987], [9.311222561872565, 47.39916535324187], [9.311217704371051, 47.399168257861284], [9.311213156806112, 47.399171385073736], [9.311208942509062, 47.39917472010617], [9.311205080775194, 47.399178246451775], [9.311201590899739, 47.39918194760362], [9.311198489434485, 47.399185804400304], [9.311195791638637, 47.39918979860106], [9.31119351144715, 47.39919391198647], [9.311191658663926, 47.39919812190586], [9.311190243251055, 47.39920241020421], [9.31118927107129, 47.3992067551944], [9.311188749311597, 47.39921113516767], [9.311188677244989, 47.3992155294434], [9.31118905808555, 47.39921991637728], [9.311189887101792, 47.39922427445387], [9.311191163566528, 47.39922858299243], [9.311192878775362, 47.399232820541826], [9.31119502534811, 47.399236965629605], [9.311197592058166, 47.399241000444185], [9.311200567520906, 47.39924490267825], [9.311203936536804, 47.3992486545847], [9.311207682582047, 47.399252238437924], [9.311211787776976, 47.399255635634496], [9.311216231688146, 47.39925883031152], [9.311220993882031, 47.399261806606084], [9.311226050015499, 47.399264550518026], [9.31123137442112, 47.39926704806852], [9.311236944143262, 47.39926928703429], [9.311242729668056, 47.39927125709764], [9.311248704130133, 47.39927294789799], [9.311254836786224, 47.39927435183667], [9.311261098248837, 47.399275462192506], [9.311267460486444, 47.399276273122325], [9.311273888909282, 47.39927678068842], [9.311280354256306, 47.39927698176648], [9.31128682474446, 47.39927687687169], [9.3112932685906, 47.399276466519325], [9.311299654011668, 47.39927575122462], [9.311305951999579, 47.39927473505658], [9.311312128280752, 47.39927342306918], [9.311318155266347, 47.399271822007385], [9.311324004074768, 47.3992699395369], [9.311329644531902, 47.39926778424392], [9.311335050531246, 47.39926536734783], [9.311340193317786, 47.39926270011093], [9.311345050821231, 47.39925979548641], [9.311349598385974, 47.3992566682689], [9.311353812680691, 47.3992533332314], [9.311357674410155, 47.39924980688095], [9.311361164279205, 47.3992461057244], [9.311364265736188, 47.39924224892342], [9.311366963522056, 47.39923825471886], [9.311369243702039, 47.39923414133004], [9.311371096472474, 47.39922993140788], [9.31137251187151, 47.39922564310735], [9.311373484036666, 47.39922129811567], [9.31137400578126, 47.39921691814152], [9.311374077832578, 47.39921252386571], [9.311373696976823, 47.3992081369324], [9.311372867945789, 47.39920377885713], [9.311371591466948, 47.39919947032056], [9.311369876244965, 47.399195232773735], [9.311367729660285, 47.39919108768916], [9.311365162939746, 47.39918705287834], [9.311362187468179, 47.3991831506484], [9.311358818445276, 47.39917939874651], [9.31135507239499, 47.39917581489813], [9.311350967197074, 47.399172417706566], [9.311346523285037, 47.39916922303466], [9.311341761092413, 47.39916624674513], [9.311336704962324, 47.39916350283818], [9.311331380562118, 47.399161005292456], [9.31132581084733, 47.39915876633118], [9.31132002533169, 47.39915679627186], [9.311314050880384, 47.399155105475174], [9.311307918236466, 47.39915370153963], [9.3113016567872, 47.399152591186244], [9.311295294563848, 47.39915178025827], [9.311288866155898, 47.399151272693366], [9.311282400824112, 47.39915107161576]]], ""type"": ""Polygon""}";Spielplatz;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4000587069,9.29992347925;"{""coordinates"": [[[9.30025696961095, 47.400008493992935], [9.299843102752755, 47.39992026477554], [9.299670365373476, 47.40024736190402], [9.30025696961095, 47.400008493992935]]], ""type"": ""Polygon""}";Westentaschenparks;Lokal;Rückzugsräume
47.4020342154,9.30040325411;"{""coordinates"": [[[9.30008692690102, 47.401901325568694], [9.3000868626045, 47.40190134369852], [9.299974987801399, 47.40172081739492], [9.299898926298917, 47.40159819432682], [9.29946524669985, 47.40172280917856], [9.29943691058273, 47.40199405367078], [9.299431687665644, 47.40204401459905], [9.299460167782078, 47.40206648753076], [9.299498273937584, 47.40208764482274], [9.29953908475734, 47.402103154490305], [9.299881735977374, 47.40221419107369], [9.30000951701008, 47.402255593504755], [9.3002150332359, 47.402322192561954], [9.300250182682234, 47.40233267409065], [9.300346942945957, 47.40236152183104], [9.300395490343009, 47.40237468343768], [9.300413295299634, 47.40237951561435], [9.300478059817047, 47.40239412520131], [9.300548529699888, 47.402404775115826], [9.300620025718189, 47.40241108013579], [9.300693371961293, 47.402413036872304], [9.300763593141726, 47.4024101686233], [9.3008344697205, 47.40240216974374], [9.30090261651582, 47.4023884488394], [9.300907786083004, 47.40238735787331], [9.301076350342418, 47.40235177456958], [9.301177948336221, 47.402330325833375], [9.301343267774, 47.40229555916894], [9.30128556659204, 47.402170385451065], [9.301272560710304, 47.40214216557128], [9.301248284539778, 47.40208950432869], [9.301228672465784, 47.402046304386204], [9.301142922791174, 47.401857203315025], [9.30106447236279, 47.4016862118232], [9.301040097574424, 47.40169020347247], [9.300962840309234, 47.40170328053687], [9.300813237432696, 47.4017285897143], [9.300672395614399, 47.40175771512967], [9.300670264402768, 47.40175095697101], [9.300528594039182, 47.40178939905356], [9.300279416655322, 47.401854989182794], [9.300272360609492, 47.40185609252899], [9.300265119209485, 47.401856101264094], [9.300259221461447, 47.40185527594368], [9.300253653368978, 47.401853721975826], [9.30008692690102, 47.401901325568694]]], ""type"": ""Polygon""}";bedeutende Freiraeume Wohnsiedlung;Lokal;Freiräume von Wohnsiedlungen und Institutionen
47.4015785998,9.3003961717;"{""coordinates"": [[[9.300670917735857, 47.401731821249044], [9.300621780413767, 47.40153339836451], [9.30062100941701, 47.401533442280034], [9.300620237987813, 47.40153339803485], [9.300619487378713, 47.40153326708575], [9.30061878026088, 47.40153305356564], [9.300618135395283, 47.40153276346977], [9.30061757025013, 47.40153240371403], [9.300617101126276, 47.40153198573142], [9.300616741675942, 47.40153152099748], [9.300616500254042, 47.401531021073374], [9.300616385372543, 47.4015305020159], [9.30061639879598, 47.401529976392084], [9.300616541058824, 47.401529459487605], [9.300616807366724, 47.401528965774546], [9.300617191600939, 47.40152850974626], [9.300617682251016, 47.40152810328391], [9.300618265126369, 47.4015277574123], [9.300618924712037, 47.40152748317757], [9.300619642655816, 47.40152728627355], [9.300523551327371, 47.401316137687125], [9.300522573838084, 47.40131398973445], [9.3005195109821, 47.4013148452044], [9.30018377915332, 47.40140859446059], [9.300183424879304, 47.40140812604327], [9.30018296093161, 47.40140770437681], [9.300182400962376, 47.40140734093694], [9.30018175856083, 47.40140704540094], [9.300181052613585, 47.401406827360994], [9.300180303174555, 47.40140669189187], [9.30017953026603, 47.40140664316924], [9.300178757820643, 47.40140668350657], [9.300178004284989, 47.40140680990741], [9.300177293403063, 47.40140701929031], [9.300176643558505, 47.40140730686063], [9.300176072977937, 47.4014076633279], [9.300175598594947, 47.40140808032225], [9.300175233181617, 47.401408544142846], [9.300174986955529, 47.401409043828906], [9.300174866003998, 47.401409563988025], [9.300174875121634, 47.40141009014825], [9.300175012481054, 47.40141060794418], [9.300175274930698, 47.401411103031926], [9.30017565670164, 47.40141156200944], [9.30017614404755, 47.40141197070354], [9.300176726027836, 47.401412319394026], [9.3001773850173, 47.401412596669275], [9.300178103547992, 47.401412795613446], [9.300125384513208, 47.401527005385105], [9.300124001776588, 47.40153001906982], [9.30012270219918, 47.401530345856486], [9.30011965662074, 47.40153111381149], [9.30015347515855, 47.40159917591012], [9.30018919007574, 47.40167201617687], [9.300223421398975, 47.40174604361367], [9.300265429669944, 47.40183590946195], [9.300661707655944, 47.401735365957435], [9.300668155887571, 47.40173400968039], [9.300668212527393, 47.40173362100954], [9.300668368997034, 47.40173324512427], [9.300668617727665, 47.40173289294268], [9.30066895247473, 47.40173257536146], [9.300669362989291, 47.40173230244216], [9.300669837603662, 47.401732081570195], [9.300670360645578, 47.40173191929591], [9.300670917735857, 47.401731821249044]]], ""type"": ""Polygon""}";Kindergarten;Lokal;Zweckgebundene Freiräume
47.401393517,9.29847353885;"{""coordinates"": [[[9.298530145287371, 47.401286415627176], [9.298420438308858, 47.40149384189083], [9.298420516948052, 47.40149385501952], [9.298530208065557, 47.40128642991081], [9.298530145287371, 47.401286415627176]]], ""type"": ""Polygon""}";Schulanlage;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4024591488,9.33512572677;"{""coordinates"": [[[9.33317147598738, 47.40213065313957], [9.333171551136605, 47.40213079135737], [9.333369165103923, 47.402318057365775], [9.333681522640445, 47.40236974850169], [9.334200067562632, 47.402455572320214], [9.334939029224817, 47.40270712251944], [9.335589241184035, 47.40292821381808], [9.33614437646577, 47.403116882345564], [9.336239305672958, 47.40314913931006], [9.336239439477785, 47.403149101124946], [9.33632350570006, 47.40312641488773], [9.336412255298866, 47.40310466828874], [9.336516556421342, 47.40308198147405], [9.336615304339341, 47.403064478887295], [9.336624350878267, 47.403062872775294], [9.336696127769327, 47.40305343262671], [9.336726620996947, 47.4030494228605], [9.336798705080678, 47.40304228168015], [9.33683187457652, 47.403039000736776], [9.336894665870336, 47.4030351079877], [9.336937387139807, 47.40303246177724], [9.33699098918656, 47.40303100426312], [9.33700196658031, 47.40302925303224], [9.337012013124188, 47.403025775316756], [9.337020548947448, 47.40302077227775], [9.337027082081589, 47.403014531800515], [9.337030988997538, 47.40300803758566], [9.337032712888787, 47.403001120407914], [9.337032170262013, 47.40299411452099], [9.337029386478909, 47.402987359587215], [9.33697229835243, 47.402870511621664], [9.336979954003958, 47.40285925677815], [9.336848241579439, 47.40259154682175], [9.336832509032998, 47.40258625430804], [9.336761804597465, 47.40256293668017], [9.336721239385595, 47.4025717453017], [9.336700980977684, 47.40257628955946], [9.336272876678859, 47.40243112926934], [9.336190438058118, 47.402403109794015], [9.33599179929332, 47.40244800335659], [9.33596061489178, 47.40243744137743], [9.335888219536935, 47.402412729500924], [9.335490325027196, 47.402276714772405], [9.335392065365312, 47.402243124593554], [9.335366225541373, 47.40218766166062], [9.335256170643737, 47.40214914585755], [9.335223022954795, 47.40213855293918], [9.334976112419143, 47.40205387459754], [9.334912016682939, 47.40206873773382], [9.334827950940387, 47.402040015272576], [9.334650038986656, 47.40208085873792], [9.334546243939322, 47.402046972740756], [9.33421100986059, 47.401933397027534], [9.334085575616363, 47.40189089589785], [9.334053920567731, 47.40182651241904], [9.333968990077649, 47.4017976694806], [9.333903911480666, 47.401775571363494], [9.333870689206197, 47.40176435760919], [9.333835880935444, 47.40175247801179], [9.333728345277217, 47.40171580877657], [9.333551399780903, 47.40175550200687], [9.333464386221914, 47.401775022741624], [9.333425116224891, 47.401827714209055], [9.333385112549974, 47.401881388448636], [9.333299871296775, 47.401996983710966], [9.333206910453413, 47.402122773812536], [9.33317147598738, 47.40213065313957]]], ""type"": ""Polygon""}";bedeutende Freiraeume Wohnsiedlung;Lokal;Freiräume von Wohnsiedlungen und Institutionen
47.4036274761,9.32520255546;"{""coordinates"": [[[9.325372069639622, 47.40243861565777], [9.325371911739854, 47.402438572353155], [9.325372245672638, 47.40243640317647], [9.325374744563131, 47.40242020056919], [9.325183786854659, 47.40253275228449], [9.325019505213382, 47.40271680351738], [9.324787551771527, 47.40283659249463], [9.32465338099039, 47.4028536816858], [9.324546347009917, 47.402948165021996], [9.324310703125883, 47.40309589241639], [9.324081361188377, 47.40322702628273], [9.3239882697623, 47.403437937118234], [9.323955777060897, 47.40351421742778], [9.323964619695253, 47.40351919137556], [9.324111435015821, 47.40361959678044], [9.324137327311966, 47.4036884195616], [9.324246579003324, 47.403793764422836], [9.32431417610622, 47.40383946852261], [9.324431632023396, 47.40390554608584], [9.325150498425419, 47.40420157143275], [9.325245224952273, 47.40425330964913], [9.325405177844209, 47.404340678525344], [9.325369269211699, 47.4043792295202], [9.325482981156306, 47.404427499617896], [9.32558019733562, 47.404470605895945], [9.32565293269544, 47.40450082375036], [9.325728147864158, 47.40453333121458], [9.325868803805838, 47.404588771176186], [9.326016149437267, 47.404637813841276], [9.326167555311326, 47.404681760792705], [9.3262320003809, 47.404702019371925], [9.326239781132262, 47.40470140011835], [9.326247343850214, 47.40470001340404], [9.326254526618838, 47.404697889764606], [9.326261173330062, 47.40469507403554], [9.326267160183043, 47.40469173737907], [9.326272376103342, 47.40468784922171], [9.326276711288438, 47.40468348962959], [9.326280073631573, 47.40467875187478], [9.326357820259856, 47.40453792009332], [9.326447057118092, 47.40437656779451], [9.32645015821666, 47.40437096611484], [9.326450257794024, 47.40437078455232], [9.32646120478017, 47.40435100261344], [9.326461466011136, 47.404350521515944], [9.326575047232323, 47.40414518374421], [9.326578428287847, 47.40413850866924], [9.32657774126211, 47.404131465532004], [9.326575535355344, 47.40412819077133], [9.32657239256994, 47.404125290292264], [9.32656844441657, 47.40412288520129], [9.326563856170717, 47.40412107715986], [9.326090590987535, 47.40398037271793], [9.326087055362942, 47.403979323880954], [9.326035989635074, 47.40396413584413], [9.326029788812821, 47.40396229384921], [9.32600605684157, 47.40395524124408], [9.325945320270803, 47.4039352728388], [9.325891947316551, 47.40391331188072], [9.325842305077844, 47.40388855583672], [9.32579414906367, 47.403860490774655], [9.325750948184968, 47.40383056429032], [9.325710932123961, 47.40379776977931], [9.325663771675147, 47.40375479065848], [9.325621638114132, 47.40371646170801], [9.32562140531951, 47.4037162495881], [9.325620775385941, 47.40371567508785], [9.325596609031447, 47.40369370476202], [9.325508687188293, 47.40361375069862], [9.325507851907162, 47.403612990619585], [9.325507550344847, 47.403612707648605], [9.325380839668655, 47.403497474640574], [9.325380196177791, 47.40349689136364], [9.325304351739565, 47.40342791298301], [9.32530206482479, 47.40342582709499], [9.325258947692154, 47.40338661440331], [9.325258646482874, 47.40338634132235], [9.325255716402122, 47.40338368114727], [9.325233602505149, 47.40336356655002], [9.325236777036379, 47.40335853949602], [9.325237254180825, 47.40335779396911], [9.325245637885537, 47.40334457575876], [9.32531631453061, 47.403233035703295], [9.325423716446656, 47.40306339025131], [9.325423967622902, 47.40306299928798], [9.325443994695306, 47.4030313643438], [9.325444710084648, 47.40303023706044], [9.325561686931986, 47.4028454914389], [9.32564285026103, 47.402717297776455], [9.325643452534406, 47.4027163441776], [9.325663379131923, 47.40268487277069], [9.325663780625828, 47.4026842364386], [9.32566427004602, 47.402683463718716], [9.325720975149864, 47.40259390397325], [9.325721233588895, 47.40259397982281], [9.325781243427196, 47.40255018840262], [9.325662812708654, 47.40251789300149], [9.325660714576514, 47.40251735687898], [9.325371967158649, 47.40243879006951], [9.325372069639622, 47.40243861565777]]], ""type"": ""Polygon""}";bedeutende Freiraeume Wohnsiedlung;Lokal;Freiräume von Wohnsiedlungen und Institutionen
47.4030639139,9.33513670738;"{""coordinates"": [[[9.335430441104965, 47.40342835300823], [9.336000232033753, 47.40322265905727], [9.33612669833766, 47.40318268738207], [9.33611755960842, 47.40316460098292], [9.335646097681956, 47.40300207953459], [9.334611416130228, 47.40264613052324], [9.334311482735686, 47.40305554848389], [9.33444097958157, 47.40309955896805], [9.334444495655406, 47.403097449998405], [9.334493428264897, 47.403114424628434], [9.334499170628403, 47.40310710596607], [9.335350189319838, 47.40339747112542], [9.335430441104965, 47.40342835300823]]], ""type"": ""Polygon""}";Sportflaechen;Lokal;Frei zugängliche Räume für Spiel- und Bewegung
47.4037809236,9.31209781574;"{""coordinates"": [[[9.312840486169208, 47.40335683047798], [9.312778400379964, 47.402838681291506], [9.312674687107476, 47.40283393113373], [9.312432462034574, 47.4028101053902], [9.312313788530588, 47.40286035167332], [9.311983456711642, 47.40283882664958], [9.311806477492834, 47.402802452712926], [9.311391293317543, 47.40280453274732], [9.311326695234301, 47.40280647960888], [9.311339676947838, 47.40336627050725], [9.311345399354972, 47.40361828402654], [9.311355940969504, 47.40406911901465], [9.311358765128274, 47.404189737311775], [9.311370543051634, 47.40471603469093], [9.31153816382185, 47.40472013689564], [9.31170352866795, 47.40472716338189], [9.311902492993095, 47.40473925877954], [9.312100988866382, 47.40475460925046], [9.312298278352458, 47.40477257900151], [9.312494379652396, 47.404794814144964], [9.312534125344794, 47.40479867682078], [9.31257303822167, 47.40479732589375], [9.31261177072226, 47.404790849745275], [9.312620708387547, 47.404788005748394], [9.31262749645794, 47.40478583538745], [9.312634207993476, 47.404781866922235], [9.312641386195645, 47.404777602991395], [9.312658785394913, 47.40475951622941], [9.312678455949802, 47.404731037386476], [9.312696149770396, 47.40469873100997], [9.3127090878268, 47.404663083021546], [9.312752954097444, 47.404519710306296], [9.31276220591274, 47.40449529604435], [9.312767293647537, 47.40448322087018], [9.31277246500694, 47.40447163915924], [9.312786207423597, 47.404443787269166], [9.312798091609231, 47.40442149851059], [9.312804497561284, 47.404410355602316], [9.312810055489281, 47.404401097770545], [9.312829772918954, 47.40437094474323], [9.31285255233657, 47.404338933694035], [9.312864851658071, 47.40432316981717], [9.31288591712793, 47.40429818602133], [9.312898150280752, 47.40428543711812], [9.312914631343556, 47.40427026215303], [9.312933264911667, 47.40425525019121], [9.312946446997056, 47.40424574270281], [9.312857104868513, 47.4034957942762], [9.312840486169208, 47.40335683047798]]], ""type"": ""Polygon""}";Familiengaerten;Lokal;Zweckgebundene Freiräume
47.4035032208,9.32635097554;"{""coordinates"": [[[9.32681675991189, 47.40327192869935], [9.326840916338718, 47.40330022456895], [9.326858330135543, 47.40331857225313], [9.326759498017823, 47.403360367188], [9.326385638524785, 47.40325289096496], [9.32634588665724, 47.40325113480198], [9.326351104298992, 47.40324296324723], [9.326350347861874, 47.40324274529058], [9.326498160897609, 47.403012624314286], [9.326537849985678, 47.402950457598706], [9.326504288673156, 47.40292849704332], [9.326503827546752, 47.402928198688876], [9.32648899989763, 47.40291850047009], [9.326461588833203, 47.402903348915345], [9.326461264288833, 47.40290316528676], [9.326441437318605, 47.402892208240246], [9.326385049888954, 47.40287153833152], [9.32634072255564, 47.402858417546], [9.326147807767871, 47.40280179879105], [9.326101621060605, 47.4027885193634], [9.326056821589003, 47.402774785407836], [9.326056017723117, 47.402774537635224], [9.326039782168925, 47.4027695667735], [9.3260084476958, 47.40276036310146], [9.325932341826837, 47.402740383996694], [9.3258983218127, 47.402733923199875], [9.325864661793519, 47.402733843318195], [9.325855218030778, 47.402734717337395], [9.325845909075936, 47.40273602999526], [9.325838419339453, 47.4027374118976], [9.325831057350335, 47.40273907061233], [9.325815248902458, 47.40274394420377], [9.325800441211024, 47.40275009697937], [9.325783836384053, 47.40273399501477], [9.325765187604542, 47.402744985118105], [9.325748624146826, 47.402757421121905], [9.3257347907434, 47.402771248410914], [9.325723537137739, 47.40278611586768], [9.325429928169093, 47.40324685072142], [9.325410591055315, 47.40327963497372], [9.32539900560709, 47.40331913825889], [9.325401572676787, 47.403356432010966], [9.325415116341466, 47.40339085555625], [9.325441674262409, 47.40342568732038], [9.325459036546656, 47.40344147197071], [9.325459515662827, 47.40344190408725], [9.32565188492627, 47.403616880872924], [9.325653418273784, 47.40361826831882], [9.325653870299826, 47.403618683783215], [9.325783583381748, 47.40373668434311], [9.325832356895988, 47.40377877337618], [9.325833669394566, 47.40377991161841], [9.325867363013161, 47.40380335467192], [9.325911642970212, 47.40382970166564], [9.3259171436671, 47.403832391803604], [9.325918114411522, 47.40383286087062], [9.3259237378602, 47.40383561198024], [9.325934431557643, 47.40384083533969], [9.325934660848464, 47.40384094855179], [9.325958421546892, 47.40385255216538], [9.325973560239227, 47.40385868355092], [9.325974393796065, 47.403859020806884], [9.326000502049183, 47.403869596415504], [9.326050780791977, 47.4038861378426], [9.3262334652928, 47.40394036887705], [9.326266223840515, 47.40395009893011], [9.326267374219476, 47.403950439104335], [9.326313739473408, 47.403964202285444], [9.326652231348817, 47.40406469952682], [9.326684975162218, 47.40407442070724], [9.326686247374576, 47.40407479577298], [9.326732049181008, 47.40408839615941], [9.326732919608933, 47.40408865183648], [9.326974653119612, 47.404160422081134], [9.327025624235386, 47.404174423682655], [9.327075837997477, 47.40418537874112], [9.327129470784135, 47.40419185147735], [9.327182834534483, 47.404194101005515], [9.32723733797762, 47.40419261531253], [9.32732278170682, 47.404180260386994], [9.327316979056718, 47.40415867393982], [9.327325854746741, 47.40415448028801], [9.327329491157458, 47.40415276543182], [9.327342655252748, 47.40414655836645], [9.32736553781291, 47.4041304408142], [9.327382207066888, 47.40411063720033], [9.327390495443478, 47.404090259860766], [9.327391038006525, 47.404081272214704], [9.327391110956933, 47.404079966490485], [9.327391829935326, 47.40406810689041], [9.327391376027029, 47.40406539728722], [9.327374211704699, 47.40396297439201], [9.327370864906896, 47.403943003200425], [9.327370326314453, 47.403939774068654], [9.327349409141009, 47.403814858521066], [9.327337659337973, 47.40378285297882], [9.327315683131403, 47.403749835148226], [9.32728945718096, 47.40372066633386], [9.32726005601947, 47.403692016355436], [9.327064219938384, 47.403517342645486], [9.327049796577752, 47.4035044791215], [9.326975976465377, 47.40343730495335], [9.326906636816332, 47.40336941873437], [9.326869523706318, 47.403330306415675], [9.326858235535015, 47.4033184082588], [9.326840821770109, 47.40330006147378], [9.326816807717233, 47.40327193151666], [9.32681675991189, 47.40327192869935]]], ""type"": ""Polygon""}";bedeutende Freiraeume Wohnsiedlung;Lokal;Freiräume von Wohnsiedlungen und Institutionen
