,coord_x,coord_y,city,canton,year,street_name,street_number,multiple_floors,num_rooms,area,kitchen,status,floor
11240,2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1.0,5.0,150.0,1.0,3004,1
11241,2739876.8,1251991.9,St. Gallen,SG,1918.0,Schoretshuebstrasse,31,1.0,3.0,90.0,1.0,3004,2
11242,2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1.0,5.0,180.0,1.0,3004,1
11243,2739891.3,1251986.3,St. Gallen,SG,1918.0,Schoretshuebstrasse,33,1.0,3.0,94.0,1.0,3004,2
11244,2739893.8,1251957.3,St. Gallen,SG,1969.0,Schoretshuebstrasse,35,1.0,6.0,140.0,1.0,3004,1
11246,2739995.1,1252246.6,St. Gallen,SG,1977.0,Schoretshuebstrasse,5,0.0,4.0,55.0,1.0,3004,1
11790,2740249.2,1251368.7,St. Gallen,SG,1918.0,Appenzeller Strasse,66,0.0,3.0,45.0,1.0,3004,1
11792,2740171.5,1251703.0,St. Gallen,SG,1977.0,Wiesenbachstrasse,4,1.0,5.0,180.0,1.0,3004,1
11793,2740201.2,1251719.7,St. Gallen,SG,1977.0,Wiesenbachstrasse,8,1.0,4.0,160.0,1.0,3004,1
11794,2740233.3,1251723.8,St. Gallen,SG,1983.0,Wiesenbachstrasse,9,1.0,4.0,160.0,1.0,3004,1
11795,2740171.1,1251676.8,St. Gallen,SG,1988.0,Geigerstrasse,30b,1.0,5.0,200.0,1.0,3004,1
11796,2740241.1,1251701.0,St. Gallen,SG,1983.0,Wiesenbachstrasse,9b,0.0,4.0,164.0,1.0,3004,1
11797,2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,3.0,80.0,1.0,3004,1
11798,2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,4.0,100.0,1.0,3004,2
11799,2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,3.0,80.0,1.0,3004,3
11800,2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,4.0,100.0,1.0,3004,4
11801,2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,3.0,80.0,1.0,3004,5
11802,2740101.3,1251743.9,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44a,0.0,6.0,150.0,1.0,3004,6
11803,2740108.6,1251737.5,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44,0.0,5.0,,1.0,3004,2
11804,2740108.6,1251737.5,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44,0.0,5.0,,1.0,3004,3
11805,2740108.6,1251737.5,St. Gallen,SG,1987.0,Kreuzbühlstrasse,44,0.0,6.0,,1.0,3004,4
11806,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,1
11807,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,2
11808,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,3
11809,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,4
11810,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,5
11811,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,6
11812,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,7
11813,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,8
11814,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,9
11815,2740271.6,1251653.3,St. Gallen,SG,2008.0,Lilienthalstrasse,15,1.0,4.0,127.0,1.0,3004,10
11816,2740209.7,1251645.3,St. Gallen,SG,1988.0,Geigerstrasse,26,1.0,7.0,163.0,1.0,3004,1
11817,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,5.0,125.0,1.0,3004,1
11818,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,3.0,75.0,1.0,3004,2
11819,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,4.0,99.0,1.0,3004,3
11820,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,5.0,125.0,1.0,3004,4
11821,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,3.0,75.0,1.0,3004,5
11822,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,4.0,99.0,1.0,3004,6
11823,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,5.0,125.0,1.0,3004,7
11824,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,3.0,75.0,1.0,3004,8
11825,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,0.0,4.0,99.0,1.0,3004,9
11826,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,1.0,4.0,112.0,1.0,3004,10
11827,2740314.7,1251589.9,St. Gallen,SG,2008.0,Geigerstrasse,13,1.0,4.0,104.0,1.0,3004,11
11828,2740206.0,1251671.4,St. Gallen,SG,1989.0,Geigerstrasse,28,0.0,4.0,100.0,1.0,3004,1
11829,2740206.0,1251671.4,St. Gallen,SG,1989.0,Geigerstrasse,28,0.0,4.0,100.0,1.0,3004,2
11830,2740206.0,1251671.4,St. Gallen,SG,1989.0,Geigerstrasse,28,0.0,4.0,100.0,1.0,3004,3
11831,2740206.0,1251671.4,St. Gallen,SG,1989.0,Geigerstrasse,28,0.0,4.0,100.0,1.0,3004,4
11832,2740206.0,1251671.4,St. Gallen,SG,1989.0,Geigerstrasse,28,0.0,6.0,120.0,1.0,3004,5
11833,2740206.0,1251671.4,St. Gallen,SG,1989.0,Geigerstrasse,28,0.0,6.0,120.0,1.0,3004,6
11834,2740230.3,1251623.8,St. Gallen,SG,2007.0,Geigerstrasse,22,1.0,6.0,300.0,1.0,3004,1
11835,2740245.5,1251689.2,St. Gallen,SG,1983.0,Wiesenbachstrasse,9d,1.0,5.0,90.0,1.0,3004,1
11836,2740250.5,1251674.3,St. Gallen,SG,1983.0,Wiesenbachstrasse,9e,1.0,5.0,,1.0,3004,1
11837,2740243.4,1251694.8,St. Gallen,SG,1983.0,Wiesenbachstrasse,9c,1.0,4.0,110.0,1.0,3004,1
11838,2740235.9,1251618.9,St. Gallen,SG,2007.0,Geigerstrasse,20,1.0,6.0,300.0,1.0,3004,1
11839,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,5.0,125.0,1.0,3004,1
11840,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,3.0,75.0,1.0,3004,2
11841,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,4.0,99.0,1.0,3004,3
11842,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,5.0,125.0,1.0,3004,4
11843,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,3.0,75.0,1.0,3004,5
11844,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,4.0,99.0,1.0,3004,6
11845,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,5.0,125.0,1.0,3004,7
11846,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,3.0,75.0,1.0,3004,8
11847,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,0.0,4.0,99.0,1.0,3004,9
11848,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,1.0,4.0,112.0,1.0,3004,10
11849,2740292.7,1251599.6,St. Gallen,SG,2008.0,Geigerstrasse,15,1.0,4.0,104.0,1.0,3004,11
