Charger ID;Charger Status;ChargingStationId;OperatorID;OperatorName;IsOpen24Hours;Accessibility;GeoCoordinates;address_country;address_canton;address_region;address_city;address_postalcode;address_street;address_timezone;address_floor;Plugs;PaymentOptions;MaxCapacity;ChargingFacilities (Power);AuthenticationModes;DynamicInfoAvailable;ValueAddedServices;IsHubjectCompatible;lastUpdate;ClearinghouseID;HubOperatorID;AdditionalInfo;deltaType;ChargingPoolID;OpeningTimes;GeoChargingPointEntrance;HotlinePhoneNum;ChargingStationNames;AccessibilityLocation;CalibrationLawDataAvailability;ChargingStationLocationReference;EnergySource;EnvironmentalImpact;LocationImage;RenewableEnergy;SuboperatorName;DynamicPowerLevel;HardwareManufacturer
CH*REPE366*06*1;Available;CH*REPE366*02*1;CH*REP;PLUG’N ROLL;1;Paying publicly accessible;47.408108,9.30469;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 464;;0;Type 2 Outlet;"Direct;Contract";;22.08;"NFC RFID Classic;REMOTE";true;None;1;;;;None;insert;;;;0488848044;;;;;;;;;;;
CH*REPE366*27*1;Available;CH*REPE366*02*1;CH*REP;PLUG’N ROLL;1;Paying publicly accessible;47.408108,9.30469;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 464;;0;Type 2 Connector (Cable Attached);"Direct;Contract";;22.08;"NFC RFID Classic;REMOTE";true;None;1;;;;None;insert;;;;0488848044;;;;;;;;;;;
CH*CCI*E20732;Available;CH*CCI*E20732;CH*CCC;Move;1;Paying publicly accessible;47.44874,9.39761;CHE;St. Gallen;;St. Gallen;9008;Langgasse 151;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Hotel Eastside"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20736;Available;CH*CCI*E20734;CH*CCC;Move;1;Paying publicly accessible;47.44319,9.41551;CHE;St. Gallen;;St. Gallen;9016;Rorschacherstrasse 286;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Neudorf-Center"", ""lang"": null}]";;;;;;;;;;
CH*CCC*E50417;Occupied;CH*CCC*E50415;CH*CCC;Move;1;Paying publicly accessible;47.412367,9.341061;CHE;St. Gallen;;St. Gallen;9014;Lerchenfeldstrasse 5;;;CCS Combo 2 Plug (Cable Attached);;;50.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Empa, St.Gallen"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20683;Occupied;CH*CCI*E20683;CH*CCC;Move;1;Paying publicly accessible;47.41,9.31;CHE;St. Gallen;;St. Gallen;9015;Sturzeneggstrasse 36;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Wohnüberbauung Sturzenegg Mobility"", ""lang"": null}]";;;;;;;;;;
CH*CCC*E50428;Available;CH*CCC*E50426;CH*CCC;Move;1;Paying publicly accessible;47.432199,9.375876;CHE;St. Gallen;;St. Gallen;9000;Dufourstrasse 40;;;CCS Combo 2 Plug (Cable Attached);;;50.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Helvetia Versicherungen St. Gallen"", ""lang"": null}]";;;;;;;;;;
CH*CCC*E50435;Available;CH*CCC*E50437;CH*CCC;Move;1;Paying publicly accessible;47.40741,9.302264;CHE;St. Gallen;;St. Gallen;9015;Zürcherstrasse 475;;;Type 2 Outlet;;;22.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""TCS Service Center  St.Gallen"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20604;Available;CH*CCI*E20602;CH*CCC;Move;1;Paying publicly accessible;47.427311,9.378891;CHE;St. Gallen;;St. Gallen;9000;Torstrasse 12;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""City Parking Brühltor"", ""lang"": null}]";;;;;;;;;;
CH*CCI*E20655;Available;CH*CCI*E20655;CH*CCC;Move;1;Paying publicly accessible;47.437958,9.414108;CHE;St. Gallen;;St. Gallen;9016;Favrestrasse 6;;;Type 2 Outlet;;;11.0;"NFC RFID Classic;NFC RFID DESFire;Direct Payment;REMOTE";true;None;1;;;;;;;;;0488848044;"[{""value"": ""Coop Gallusmarkt"", ""lang"": null}]";;;;;;;;;;
