Stationsnummer;ID;Verfügbare Fahrmodi  an der Station;Name;Beschreibung;Standort;Minimaldauer;Maximaldauer;Gültig seit;Gültig bis;Informationstext;Strasse;Hausnummer;PLZ;Ort;ID der Fahrzeugkategorie;Fahrzeugkategorie;Fahrmodus des Fahrzeugs;Fahrzeugtyp;Fahrzeugbeschreibung
2948;71206;return;St. Gallen Haggen Bahnhof;Der Mobility-Standort befindet sich direkt beim Bahnhof St. Gallen Haggen, direkt rechts vom Treppenaufgang nach der Unterführung.;47.4075,9.3379;60;16;;;;Gröbliweg;;9014;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
4585;80620;return;St. Gallen Heiligkreuz / Langgasse;Der Mobility-Standort befindet sich unmittelbar an der Hauptstrasse, ca. 50 Meter von der Bushaltestelle.;47.4404,9.39205;60;16;2019-12-05;;We ask you to park the vehicle correctly in the space intended for Mobility so that those renting them can use the adjoining spaces. Please park your bicycle exclusively on the Mobility parking bay during your reservation.;Langgasse;97;9008;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
2769;70036;return;St. Gallen Pic-o-pello-Platz;Ab Haltestelle Stiftsbezirk die Strasse hochgehen. Der Mobility-Standort befindet sich auf der rechte Seite der Mühleggbahn.;47.422036,9.377172;60;16;;;;St. Georgenstrasse;4;9000;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
2417;70963;return;St. Gallen Platztor;Ab Haltestelle Schützengarten ca. 150 m hangseitig Richtung Zentrum gehen und rechts in die Strasse Magniberg rechts, und 50 m weiter links ins Pfauengässlein einbiegen. Der Mobility-Standort befindet sich auf dem Parkfeld Nr. 1.;47.428891,9.377351;60;16;;;;Pfauengässlein;4;9000;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
2055;70725;return;St. Gallen St. Georgen;Bus bis Haltestelle Kirche St. Georgen. Der Mobility-Standort befindet sich an der St. Georgenstrasse 96a auf der linken Seite an der Ecke.;47.41567,9.38176;60;16;;;;St. Georgenstrasse;96a;9011;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
1296;69761;return;St. Gallen Stephanshorn;Bus Richtung Stephanshorn bis Haltestelle Klinik. Rechts der Brauerstrasse folgen und in die 1. Strasse rechts (Imbodenstrasse) abbiegen. Der Mobility-Standort befindet sich in der Einstellhalle an der Imbodenstrasse 1. Zugang erfolgt mittels Mobility-Card.;47.44461,9.41208;60;16;2015-09-29;;"We ask you to park the vehicle correctly in the space intended for Mobility so that those renting them can use the adjoining spaces. 
Please park the vehicle tight up to the wall. The interchange area is not a parking lot.";Imbodenstrasse;1;9016;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
5223;81664;return;St. Gallen Sturzeneggstrasse;ÖV bis Haltestelle Kärzern. Den Hofweg hinauf in die Sturzeneggstrasse. Der Mobility-Standort befindet sich nach ca. 300 m.;47.404074,9.317044;60;16;2020-09-15;;On your return, please use the special cable to connect the EV to the charging point. To do this, use the card behind the sun visor/in the glove box. At the end of charging, always disconnect the cable from the vehicle first and then from the charging station.;Sturzeneggstrasse;36;9015;St. Gallen;83055;1;return;Economy Electro;
3154;70152;return;St. Gallen UNI / Gatterstrasse;Ab Haltestelle Gatterstrasse Richtung “Haus Peter“ gehen und in die Gatterstrasse einbiegen. Der Mobility-Standort befindet sich 30 m weiter beim Gebäudeeingang links.;47.43182,9.37324;60;16;;;;Gatterstrasse;1;9000;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
3831;71449;return;St. Gallen Vadianstrasse;Von der Hauptunterführung des Hauptbahnhofes gerade aus den Busbahnhof überqueren. Gehen Sie am Restaurant Tibits vorbei, über die St. Leonhardstrasse weiter gerade aus. Auf der Höhe der Migros Neumarkt mit der Bushaltestelle Bleichli die Strassenseite wechseln und in die Vadianstrasse einbiegen. Links die Kantonalbank, rechts die Raiffeisenbank. Nach ca. 100 Meter links in die Kanzleistrasse einbiegen, um den Hinterhof der Vadianstrasse 6 zu erreichen.  Der Mobility-Standort befindet sich an der Ecke des Hinterhofs zur Kanzleigasse.;47.423072,9.372802;60;16;;;;Vadianstrasse;6;9001;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
4298;79633;"oneway;return";St. Gallen Bahnhof / Fachhochschule;"Der Mobility-Standort befindet sich ca. 100 m westlich der Fachhochschule auf dem Parkfeld unmittelbar an den Bahngeleisen. Von der westlichen Bahnhofunterführung aus die Rampe bei der Velostation benutzen und in gerader Linie weiter gehen. 
Per Auto: Autobahnausfahrt St. Gallen Kreuzbleiche. Im Schorentunnel die linke Spur nehmen und die der Signalisierung Zentrum folgen. Den Schorentunnel verlassen und die linke Spur nehmen Richtung Rorschach. Nach dem dritten Lichtsignal rechts in die Bahnhofvorfahrt abbiegen. Der Mobility-Standort befindet sich geradeaus auf der P+R-Anlage.";47.422,9.36666;60;16;2019-07-17;;Please use the marked Mobility parking bays. All other parking lots are rented and must not be used.;Lagerstrasse;;9000;St. Gallen;2310;1;return;Minivan;Die Mehrplätzer-Kategorie für den Transport einer grösseren Personengruppe (7 Plätze). Alle Fahrzeuge mit Automatikgetriebe, Navigationssystem, Tempomat und Parksensoren.
1245;70385;return;St. Gallen Bruggen Bahnhof;Der Mobility-Standort befindet sich seitlich des Bahnhofgebäudes Richtung Zürich.;47.40714,9.32948;60;16;;;;Stationsweg;8;9014;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
4610;80702;return;St. Gallen Brühltor / Museumstrasse;Vom Hauptbahnhof Bus bis Haltestelle Marktplatz. Nach Osten die Unterführung beim Waaghaus unter der Brühltorkreuzung Richtung Stadttheater nehmen. Der Mobility-Standort befindet sich unmittelbar rechts der Rolltreppe.;47.4266,9.37841;60;16;;;;Museumstrasse;2;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
4095;71570;return;St. Gallen Ilgenstrasse / Grenzstrasse;Bus Richtung St. Josefen bis Haltestelle Vonwil (Höhe Vonwilstrasse). Zurück gehen und in die zweite Strasse rechts, Grenzstrasse einbiegen. Der Mobility-Standort befindet sich vor einem einstöckigen Anbau zum Haus Grenzstrasse 6.;47.41763,9.35985;60;16;;;;Ilgenstrasse;28;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
1873;69869;return;St. Gallen Linsebühl;Bus Richtung Stephanshorn oder Guggeien bis Haltestelle Theater. Zu Fuss weiter bis zur Kreuzung Rorschacherstrasse/ Lämmlisbrunnenstrasse. Rechts vom Neubau des Baudepartements in den Fussgängerweg Sägegässlein einbiegen. Der Mobility-Standort befindet sich hinter dem Baudepartement am gegenüberliegenden Gebäude.;47.42578,9.38298;60;16;;;;Sternackerstrasse;10a;9000;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
2769;70036;return;St. Gallen Pic-o-pello-Platz;Ab Haltestelle Stiftsbezirk die Strasse hochgehen. Der Mobility-Standort befindet sich auf der rechte Seite der Mühleggbahn.;47.422036,9.377172;60;16;;;;St. Georgenstrasse;4;9000;St. Gallen;2313;1;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
1867;70608;return;St. Gallen Schoren;Der Mobility-Standort befindet sich unmittelbar bei der Bus-Haltestelle Schoren.;47.42561,9.36038;60;16;;;;Schorenstrasse;38;9000;St. Gallen;2306;1;return;Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
4840;81219;return;St. Gallen Spisertor / Brunnenbergstrasse;Ab Haltestelle Spisertor den Geleisen der Appenzellerbahnen in Richtung Trogen folgen. Die Brunnenbergstrasse zweigt nach ca. 200 m rechts ab. Der Mobility-Standort befindet sich unmittelbar vor dem Gebäudeeingang auf den Parkplatz Nr. 5.;47.424013,9.383301;60;16;;;;Brunnenbergstrasse;5;9000;St. Gallen;2305;1;return;Economy;Komfortable Kleinfahrzeuge mit Tempomat (5 Plätze) für kürzere und längere Strecken. Automaten oder handgeschaltete Modelle. Optimale Grösse für Wocheneinkauf.
4298;79633;"oneway;return";St. Gallen Bahnhof / Fachhochschule;"Der Mobility-Standort befindet sich ca. 100 m westlich der Fachhochschule auf dem Parkfeld unmittelbar an den Bahngeleisen. Von der westlichen Bahnhofunterführung aus die Rampe bei der Velostation benutzen und in gerader Linie weiter gehen. 
Per Auto: Autobahnausfahrt St. Gallen Kreuzbleiche. Im Schorentunnel die linke Spur nehmen und die der Signalisierung Zentrum folgen. Den Schorentunnel verlassen und die linke Spur nehmen Richtung Rorschach. Nach dem dritten Lichtsignal rechts in die Bahnhofvorfahrt abbiegen. Der Mobility-Standort befindet sich geradeaus auf der P+R-Anlage.";47.422,9.36666;60;16;2019-07-17;;Please use the marked Mobility parking bays. All other parking lots are rented and must not be used.;Lagerstrasse;;9000;St. Gallen;2306;3;"return;oneway";Combi;Allzweckautos für Reisen mit mehreren Personen und Gepäck oder für den Transport des Baumarkt-Einkaufs. Alle Fahrzeuge mit Tempomat und Navigationssystem.
4298;79633;"oneway;return";St. Gallen Bahnhof / Fachhochschule;"Der Mobility-Standort befindet sich ca. 100 m westlich der Fachhochschule auf dem Parkfeld unmittelbar an den Bahngeleisen. Von der westlichen Bahnhofunterführung aus die Rampe bei der Velostation benutzen und in gerader Linie weiter gehen. 
Per Auto: Autobahnausfahrt St. Gallen Kreuzbleiche. Im Schorentunnel die linke Spur nehmen und die der Signalisierung Zentrum folgen. Den Schorentunnel verlassen und die linke Spur nehmen Richtung Rorschach. Nach dem dritten Lichtsignal rechts in die Bahnhofvorfahrt abbiegen. Der Mobility-Standort befindet sich geradeaus auf der P+R-Anlage.";47.422,9.36666;60;16;2019-07-17;;Please use the marked Mobility parking bays. All other parking lots are rented and must not be used.;Lagerstrasse;;9000;St. Gallen;2312;2;return;Transport;Die Kategorie für Umzüge und Möbeleinkäufe. Alle Fahrzeuge bieten Automatikgetriebe, Navigationssystem und Parksensoren.
4298;79633;"oneway;return";St. Gallen Bahnhof / Fachhochschule;"Der Mobility-Standort befindet sich ca. 100 m westlich der Fachhochschule auf dem Parkfeld unmittelbar an den Bahngeleisen. Von der westlichen Bahnhofunterführung aus die Rampe bei der Velostation benutzen und in gerader Linie weiter gehen. 
Per Auto: Autobahnausfahrt St. Gallen Kreuzbleiche. Im Schorentunnel die linke Spur nehmen und die der Signalisierung Zentrum folgen. Den Schorentunnel verlassen und die linke Spur nehmen Richtung Rorschach. Nach dem dritten Lichtsignal rechts in die Bahnhofvorfahrt abbiegen. Der Mobility-Standort befindet sich geradeaus auf der P+R-Anlage.";47.422,9.36666;60;16;2019-07-17;;Please use the marked Mobility parking bays. All other parking lots are rented and must not be used.;Lagerstrasse;;9000;St. Gallen;2313;2;return;Budget;Kompakte, funktionelle Autos (4 Plätze). Ideal für Kurzstrecken. Die günstigste Kategorie im Angebot.
