Geo Point;Geo Shape;Kategorie;Bezeichnung;Adresse;Ort;Land;PLZ;Information;Parkplatzart;Anzahl_Parkplätze
47.41593229237727,9.357258753768159;"{""coordinates"": [9.357258753768159, 47.41593229237727], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Turnerstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42413547865985,9.372072070168064;"{""coordinates"": [9.372072070168064, 47.42413547865985], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schützengasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.42406690266316,9.372128553751967;"{""coordinates"": [9.372128553751967, 47.42406690266316], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schützengasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 1;Weiss (bewirtschaftet);1.0
47.42390995760674,9.372257755631594;"{""coordinates"": [9.372257755631594, 47.42390995760674], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schützengasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.41621388155484,9.363862671238136;"{""coordinates"": [9.363862671238136, 47.41621388155484], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tschudistrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 8;Erweiterte Blaue Zone;8.0
47.42247806055078,9.373458643363195;"{""coordinates"": [9.373458643363195, 47.42247806055078], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Frongartenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.406325124884255,9.332908948944679;"{""coordinates"": [9.332908948944679, 47.406325124884255], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lehnhaldenstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 3;Erweiterte Blaue Zone;3.0
47.4214163792207,9.374405740867958;"{""coordinates"": [9.374405740867958, 47.4214163792207], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkhaus Einstein;Wassergasse;St.Gallen;Schweiz;9000;Unterirdisch, Garage: 100;Unterirdisch, Garage;100.0
47.42589848483874,9.382208257625045;"{""coordinates"": [9.382208257625045, 47.42589848483874], ""type"": ""Point""}";Parkplätze, Parkhäuser;Lämmlisbrunnenstrasse Nordseite;Lämmlisbrunnenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.44170011432648,9.380898151610632;"{""coordinates"": [9.380898151610632, 47.44170011432648], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tanneichenstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.42006322141193,9.351458407206911;"{""coordinates"": [9.351458407206911, 47.42006322141193], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Schönaustrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.40753852976279,9.334026422366838;"{""coordinates"": [9.334026422366838, 47.40753852976279], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Stockbergstrasse;St.Gallen;Schweiz;9014;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43572941628534,9.40452160194644;"{""coordinates"": [9.40452160194644, 47.43572941628534], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Grünaustrasse;St.Gallen;Schweiz;9016;Erweiterte Blaue Zone: 10;Erweiterte Blaue Zone;10.0
47.43882322354914,9.385984963533;"{""coordinates"": [9.385984963533, 47.43882322354914], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Lessingstrasse;St.Gallen;Schweiz;9008;Erweiterte Blaue Zone: 5;Erweiterte Blaue Zone;5.0
47.44127810546445,9.377938579840249;"{""coordinates"": [9.377938579840249, 47.44127810546445], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Fliederstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.434124822179825,9.379081925369757;"{""coordinates"": [9.379081925369757, 47.434124822179825], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Wartensteinstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.43666804206677,9.378790614657001;"{""coordinates"": [9.378790614657001, 47.43666804206677], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Tannenstrasse;St.Gallen;Schweiz;9010;Erweiterte Blaue Zone: 4;Erweiterte Blaue Zone;4.0
47.400696584706495,9.29948258843458;"{""coordinates"": [9.29948258843458, 47.400696584706495], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gsellstrasse;St.Gallen;Schweiz;9015;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.401529506953665,9.299397108065348;"{""coordinates"": [9.299397108065348, 47.401529506953665], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gsellstrasse;St.Gallen;Schweiz;9015;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.41888649335495,9.383687953749293;"{""coordinates"": [9.383687953749293, 47.41888649335495], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Gessnerstrasse;St.Gallen;Schweiz;9011;Erweiterte Blaue Zone: 16;Erweiterte Blaue Zone;16.0
47.42889328702857,9.381143060582424;"{""coordinates"": [9.381143060582424, 47.42889328702857], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Notkerstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 2;Erweiterte Blaue Zone;2.0
47.41460673902723,9.3648790255642;"{""coordinates"": [9.3648790255642, 47.41460673902723], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Fellenbergstrasse;St.Gallen;Schweiz;9000;Erweiterte Blaue Zone: 6;Erweiterte Blaue Zone;6.0
47.43417433886545,9.392419875731271;"{""coordinates"": [9.392419875731271, 47.43417433886545], ""type"": ""Point""}";Parkplätze, Parkhäuser;Bahnhof St. Fiden;Untere Lindentalstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 4;Weiss (bewirtschaftet);4.0
47.4212143889094,9.368678733888963;"{""coordinates"": [9.368678733888963, 47.4212143889094], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Kesslerstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.431158952759816,9.38205902501186;"{""coordinates"": [9.38205902501186, 47.431158952759816], ""type"": ""Point""}";Parkplätze, Parkhäuser;Parkplatz Olma Messen St. Gallen;Jägerstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 5;Weiss (bewirtschaftet);5.0
47.42196919902607,9.378897190456316;"{""coordinates"": [9.378897190456316, 47.42196919902607], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Felsenstrasse;St.Gallen;Schweiz;9000;Weiss (bewirtschaftet): 2;Weiss (bewirtschaftet);2.0
47.4258730927403,9.40386362041593;"{""coordinates"": [9.40386362041593, 47.4258730927403], ""type"": ""Point""}";Parkplätze, Parkhäuser;;Hardungstrasse;St.Gallen;Schweiz;9011;Ohne Markierung: 3;Ohne Markierung;3.0
