Geo Point;Geo Shape;Wärmeversorgung
47.43677104251595,9.39623011892122;"{""coordinates"": [[[9.397089268358725, 47.43652362699075], [9.397174660843227, 47.4364893326119], [9.397451635719978, 47.43651378024925], [9.397628322799378, 47.4364949515189], [9.397683863647204, 47.43648903496695], [9.39791408683651, 47.43641020700682], [9.397908257107924, 47.43640781368589], [9.396873779322545, 47.4359824273001], [9.396282424055217, 47.43575099492424], [9.395819692172514, 47.43562152957012], [9.395749327212748, 47.435601839232156], [9.39557277397663, 47.43558313693118], [9.39541057055688, 47.43556594583282], [9.395020930012043, 47.435647458082286], [9.394935537820478, 47.43568175987069], [9.39460981781922, 47.43581258931727], [9.394545847868669, 47.43585252022247], [9.394513869483212, 47.43587248554953], [9.39466300404204, 47.43592407815435], [9.39590593861001, 47.436523282763616], [9.395855654367548, 47.436657341784596], [9.395959876574718, 47.43698857804455], [9.395942858242423, 47.437192834132716], [9.395878004653758, 47.43743119754573], [9.395748786283374, 47.43758740268043], [9.395528345489105, 47.43793245762535], [9.395399566766812, 47.438267638398294], [9.395291951468971, 47.438510890717126], [9.395361687167156, 47.43857214851928], [9.396114489907687, 47.43814495392191], [9.397260797288743, 47.43732871152722], [9.397138780835993, 47.43668141191704], [9.396969104991534, 47.43657189772519], [9.397089268358725, 47.43652362699075]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.4400499278894,9.378759855214046;"{""coordinates"": [[[9.381399007917638, 47.44190471410703], [9.381135261662495, 47.44165831504952], [9.380730918274608, 47.44170174348199], [9.380142684845037, 47.43980601875573], [9.379420781240421, 47.439866093786215], [9.378834597652322, 47.4391856173347], [9.37845106310468, 47.439251567742296], [9.377852987492787, 47.43872600417578], [9.378171619746848, 47.438563952112474], [9.377039155053623, 47.43752604721668], [9.376715908838577, 47.43828367232735], [9.375942543640498, 47.438483553361806], [9.376449932308326, 47.43900323336598], [9.376706255321842, 47.43891608471674], [9.380030524055213, 47.44216920473838], [9.380365763087383, 47.44224343017465], [9.380715343715567, 47.44244822728921], [9.380891949806179, 47.442133323059245], [9.381399007917638, 47.44190471410703]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.416037755730336,9.379875352791371;"{""coordinates"": [[[9.38022339712134, 47.41816250282126], [9.3807214034762, 47.41756334501834], [9.381331961294993, 47.418061828323076], [9.382058036021302, 47.41642492598266], [9.381906476312631, 47.41624695244517], [9.382442358800512, 47.41543372502709], [9.382184373646023, 47.41480361303285], [9.381938513226316, 47.41472589456879], [9.381858709739872, 47.41470453755716], [9.381768961415396, 47.414823969121635], [9.38170289976939, 47.414923092169], [9.380981786774875, 47.41469547633332], [9.380183929307787, 47.41446257794384], [9.379977898766711, 47.41462571647914], [9.37955153834885, 47.41497506664442], [9.379531676722113, 47.41496944433562], [9.378059414915723, 47.414529152576584], [9.37762272818621, 47.415070212283766], [9.37708386144429, 47.41573786093719], [9.377028397215808, 47.41581013660245], [9.376857729049542, 47.41574391254347], [9.37677869100125, 47.415713344394696], [9.376482566483293, 47.41559904850058], [9.376325714460192, 47.415538376952306], [9.37627785294486, 47.41551984528112], [9.376168167095221, 47.415477527921155], [9.375920507767713, 47.41538189616149], [9.375695204661763, 47.41529485898163], [9.37544602481657, 47.41519891883352], [9.375357711973232, 47.41530393508804], [9.375522985081309, 47.415435452072686], [9.375628274329372, 47.415527803359495], [9.375757065770873, 47.41557756522853], [9.376004351861987, 47.41567312262898], [9.376160799968885, 47.415733621446925], [9.37631953310711, 47.41579498142625], [9.37628070013494, 47.41584169660744], [9.376886937833214, 47.41607579405709], [9.37672228524711, 47.4162713048389], [9.376867790193339, 47.41631513513688], [9.376995404109119, 47.41637506388697], [9.377032890495332, 47.416326319772324], [9.377374974553302, 47.41591212259813], [9.379404762936758, 47.41675642212794], [9.379107114884691, 47.416961376568565], [9.378779597839868, 47.41692403304475], [9.37854051139813, 47.417085798340885], [9.378534178779534, 47.417090619016264], [9.379081063539918, 47.417336515914116], [9.38022339712134, 47.41816250282126]]], ""type"": ""Polygon""}";Wärmeverbunde
47.423046271871044,9.39154502895623;"{""coordinates"": [[[9.391978398881458, 47.42312401514621], [9.39198583793936, 47.422994747979835], [9.39197331525205, 47.422946475381096], [9.391982784602547, 47.42292238358229], [9.391795373496118, 47.42284394936824], [9.3914839328431, 47.42277199232857], [9.391277998414909, 47.422946736993175], [9.3910067171063, 47.423159706440416], [9.39085840226911, 47.42328589227666], [9.390851909297764, 47.423289222848815], [9.390897897967903, 47.4233221393144], [9.39095459304532, 47.42329925611141], [9.391276847300043, 47.42317445879928], [9.391657310548451, 47.42309266265748], [9.391738498720756, 47.42332941133561], [9.391752987506054, 47.4233257746375], [9.391782878222466, 47.42330689780395], [9.391941842716822, 47.423228214281096], [9.391956446694136, 47.42320098575316], [9.391978398881458, 47.42312401514621]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.432472904852474,9.37953621181013;"{""coordinates"": [[[9.379278231293341, 47.43176811777221], [9.379172937340169, 47.431539611656234], [9.378681291738955, 47.4318834017516], [9.37825416358106, 47.43208037632368], [9.378569222606766, 47.43231318999617], [9.377968374778987, 47.4325477437049], [9.380112821240417, 47.433366163615254], [9.380277984813445, 47.43331800927876], [9.380713929563761, 47.43284044790141], [9.380615678292244, 47.43255590938165], [9.380670781670474, 47.43231316662133], [9.380618950194881, 47.432107452130516], [9.380176656099826, 47.431943825646755], [9.379862257950624, 47.43183068104681], [9.379278231293341, 47.43176811777221]]], ""type"": ""Polygon""}";Fernwärme Endausbaupotential
47.42476834906377,9.36544550247791;"{""coordinates"": [[[9.367392708342193, 47.42555951821568], [9.368031547796473, 47.42518464555424], [9.368495658873897, 47.42529081419787], [9.368497104060337, 47.42504401622605], [9.368324586777634, 47.424870622178666], [9.367590530820834, 47.42466799653693], [9.366855382312215, 47.42446506065479], [9.366958178560736, 47.42460269722486], [9.366667419069834, 47.42500032243975], [9.36573826435655, 47.42462304573846], [9.364316543610178, 47.42397883876117], [9.364116818795203, 47.42425046054476], [9.362410255796181, 47.423671578517634], [9.362231835735795, 47.42352234942203], [9.361389596872394, 47.423286362112016], [9.361360130389151, 47.42343911433645], [9.361753989672446, 47.42375731862538], [9.362628199600545, 47.42406407984459], [9.363881535938404, 47.42457043836139], [9.364492950454222, 47.42495229631902], [9.3656108831024, 47.42556903454921], [9.365992787355426, 47.42544098428672], [9.367187627800035, 47.42590661903723], [9.367392708342193, 47.42555951821568]]], ""type"": ""Polygon""}";Wärmeverbunde
47.41433251968075,9.344078782096494;"{""coordinates"": [[[9.344847512345961, 47.41340221229761], [9.34325749197519, 47.412990496300566], [9.34310139427898, 47.41331158253337], [9.34244508305001, 47.41370347508935], [9.342154622459239, 47.41378219611429], [9.343169714206184, 47.41404984821183], [9.342846805422534, 47.414554320709115], [9.344384699045934, 47.415079326428994], [9.343842251360496, 47.415890631770026], [9.345016758484542, 47.416021434681], [9.34506654992233, 47.41460439318929], [9.345106850298052, 47.414433221134715], [9.345226544796718, 47.41392491586289], [9.344845463362404, 47.41357856519612], [9.344847512345961, 47.41340221229761]]], ""type"": ""Polygon""}";Fernwärme in Betrieb
47.41105227626269,9.331316108581449;"{""coordinates"": [[[9.332179829341753, 47.41068131167578], [9.33156248286755, 47.41033080134421], [9.330599943024882, 47.41101613290516], [9.33067051564551, 47.41115182694682], [9.330690428675338, 47.411186687178834], [9.330820610062691, 47.41141469236153], [9.33084262940249, 47.41151664287994], [9.330633051659627, 47.41164273670275], [9.330631562164308, 47.41164967959896], [9.330630698305104, 47.41165371529471], [9.33062743609445, 47.41166895523807], [9.330981992972259, 47.411835517694556], [9.331016359645522, 47.41185117598422], [9.331034009084089, 47.411859253898804], [9.331033535922252, 47.4118597384766], [9.331042014011247, 47.411863720132935], [9.331178280183572, 47.411744926225055], [9.331823285339294, 47.41109200871445], [9.332179829341753, 47.41068131167578]]], ""type"": ""Polygon""}";Wärmepumpen Erdsonde
47.446401875726536,9.405556199538678;"{""coordinates"": [[[9.40640715290111, 47.44708874571956], [9.40697131393509, 47.446812790125975], [9.40585947898386, 47.446348384040874], [9.40547332544633, 47.446064958001905], [9.405821039209448, 47.44583496615603], [9.405608871268399, 47.44570236348603], [9.404467682009015, 47.4456690247881], [9.40503097055832, 47.44668545684811], [9.405200818434436, 47.446938942522515], [9.405441329866644, 47.446876659582124], [9.40640715290111, 47.44708874571956]]], ""type"": ""Polygon""}";Wärmeverbunde
47.432356755343115,9.412251169491773;"{""coordinates"": [[[9.41233199652181, 47.43314026045825], [9.412634612833482, 47.43259761638189], [9.41357169623164, 47.4328649758435], [9.413943399110073, 47.43298231390672], [9.414512883941383, 47.4322330504346], [9.414508594808346, 47.43222537739816], [9.414476156895242, 47.432213426179146], [9.414268661818012, 47.4318397406682], [9.414045451122094, 47.43181878721524], [9.41368024278542, 47.431784416254835], [9.413462125205758, 47.43176385148972], [9.413091141190616, 47.43172888459903], [9.412881861130806, 47.4317092114205], [9.4125813565425, 47.43168087535399], [9.412468276456508, 47.43167137142293], [9.412455041980584, 47.431688475668714], [9.412233651941042, 47.43172229692694], [9.412207033813452, 47.43171566185825], [9.412202952045005, 47.4317146429265], [9.412116628559243, 47.43185423768881], [9.411919127409982, 47.432120409896456], [9.411962178509926, 47.43213790267057], [9.411937561655357, 47.43220383855461], [9.411929361662962, 47.43222585007358], [9.411894911388643, 47.43231873766988], [9.411536145677987, 47.432257556043034], [9.41100848021568, 47.43216757747387], [9.410906089646847, 47.432148505800974], [9.4108851294682, 47.432144634903516], [9.410763381720587, 47.4321180750802], [9.410645221416145, 47.432088493936426], [9.410526931312889, 47.43205540608894], [9.410411015474086, 47.43201875982279], [9.410336799568777, 47.431994285689925], [9.409866767308857, 47.431839287730774], [9.409846186281595, 47.431842067902295], [9.409774988810018, 47.43183499596184], [9.409650384538953, 47.43181039104677], [9.409600510861583, 47.431800544190665], [9.409564992874941, 47.43192162759823], [9.409516685705277, 47.43209943870904], [9.409467107169194, 47.432282669612675], [9.40965514610951, 47.43245232095641], [9.409964701626905, 47.43245145925519], [9.410889442159114, 47.43264882975412], [9.411133789523808, 47.43299458633997], [9.41194111247359, 47.43307662346987], [9.41233199652181, 47.43314026045825]]], ""type"": ""Polygon""}";Fernwärme Erweiterung
