Id;POITypeId;POIName_de;POIName_fr;POIName_it;POIName_en;address_city;address_kantoncode;address_zip;address_countrycode;address_street;address_technicalplz6;address_gemeindeid;geopoint;contact_phone;contact_fax;contact_email_addresse_de;contact_email_addresse_fr;contact_email_addresse_it;contact_email_addresse_en;pickuptime_description_de;pickuptime_description_fr;pickuptime_description_it;pickuptime_description_en;pickuptime_time;AdditionalDescription;OfferPackage;OpeningHoursEvent;AccessInformation;service_servicetypeid;poityp_de;Verarbeitung_de;poityp_fr;Verarbeitung_fr;poityp_it;Verarbeitung_it;poityp_en;Verarbeitung_en;ForPrivateCustomer;ForBusinessCustomer;groupename_de;service_de;url_de;urlmobil_de;groupename_fr;service_fr;url_fr;urlmobil_fr;groupename_it;service_it;url_it;urlmobil_it;groupename_en;service_en;url_en;urlmobil_en
001PST_001125988;001PST;Post Filiale 9006 St. Gallen 6 St. Fiden;Poste Filiale 9006 St. Gallen 6 St. Fiden;Posta Filiale 9006 St. Gallen 6 St. Fiden;Post Branch 9006 St. Gallen 6 St. Fiden;St. Gallen;SG;9000;CH;Rorschacher Strasse 152;900600;3203;47.43101116,9.39560444;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;09:00:00.0;"[{""@lang"": ""de"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""fr"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""it"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""en"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}]";"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}]";;;001134032;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;true;false;Briefe und Pakete;PickPost;http://www.post.ch/pickpost;http://www.post.ch/pickpost;Lettres et colis;PickPost;http://www.poste.ch/pickpost;http://www.poste.ch/pickpost;Lettere e pacchi;PickPost;http://www.posta.ch/pickpost;http://www.posta.ch/pickpost;Letters and parcels;PickPost;http://www.swisspost.ch/pickpost;http://www.swisspost.ch/pickpost
001PST_001125988;001PST;Post Filiale 9006 St. Gallen 6 St. Fiden;Poste Filiale 9006 St. Gallen 6 St. Fiden;Posta Filiale 9006 St. Gallen 6 St. Fiden;Post Branch 9006 St. Gallen 6 St. Fiden;St. Gallen;SG;9000;CH;Rorschacher Strasse 152;900600;3203;47.43101116,9.39560444;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;09:00:00.0;"[{""@lang"": ""de"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""fr"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""it"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""en"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}]";"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}]";;;001800005;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;;;Briefe und Pakete;Briefe und Pakete empfangen;;;Lettres et colis;Réception de lettres et colis;;;Lettere e pacchi;Ricevere lettere e pacchi;;;Letters and parcels;Receiving letter and parcels;;
001PST_001125988;001PST;Post Filiale 9006 St. Gallen 6 St. Fiden;Poste Filiale 9006 St. Gallen 6 St. Fiden;Posta Filiale 9006 St. Gallen 6 St. Fiden;Post Branch 9006 St. Gallen 6 St. Fiden;St. Gallen;SG;9000;CH;Rorschacher Strasse 152;900600;3203;47.43101116,9.39560444;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;09:00:00.0;"[{""@lang"": ""de"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""fr"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""it"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}, {""@lang"": ""en"", ""#text"": ""Medbase Apotheke St. Gallen Silbert""}]";"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}]";;;001800006;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;;;Briefe und Pakete;Briefe und Pakete* versenden;;;Lettres et colis;Expédition de lettres et colis*;;;Lettere e pacchi;Inviare lettere e pacchi*;;;Letters and parcels;Sending letter and parcels*;;
001PST_001125994;001PST;Post Filiale 9012 St. Gallen 12 Riethüsli;Poste Filiale 9012 St. Gallen 12 Riethüsli;Posta Filiale 9012 St. Gallen 12 Riethüsli;Post Branch 9012 St. Gallen 12 Riethüsli;St. Gallen;SG;9012;CH;Teufener Strasse 143;901200;3203;47.41154164,9.36675363;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;09:00:00.0;"[{""@lang"": ""de"", ""#text"": ""Bäckerei Schwyter""}, {""@lang"": ""fr"", ""#text"": ""Bäckerei Schwyter""}, {""@lang"": ""it"", ""#text"": ""Bäckerei Schwyter""}, {""@lang"": ""en"", ""#text"": ""Bäckerei Schwyter""}]";"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}]";;;001800006;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;;;Briefe und Pakete;Briefe und Pakete* versenden;;;Lettres et colis;Expédition de lettres et colis*;;;Lettere e pacchi;Inviare lettere e pacchi*;;;Letters and parcels;Sending letter and parcels*;;
001PST_001125994;001PST;Post Filiale 9012 St. Gallen 12 Riethüsli;Poste Filiale 9012 St. Gallen 12 Riethüsli;Posta Filiale 9012 St. Gallen 12 Riethüsli;Post Branch 9012 St. Gallen 12 Riethüsli;St. Gallen;SG;9012;CH;Teufener Strasse 143;901200;3203;47.41154164,9.36675363;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;09:00:00.0;"[{""@lang"": ""de"", ""#text"": ""Bäckerei Schwyter""}, {""@lang"": ""fr"", ""#text"": ""Bäckerei Schwyter""}, {""@lang"": ""it"", ""#text"": ""Bäckerei Schwyter""}, {""@lang"": ""en"", ""#text"": ""Bäckerei Schwyter""}]";"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}]";;;001800011;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;;;Briefe und Pakete;Frankieren;;;Lettres et colis;Affranchissement;;;Lettere e pacchi;Affrancare;;;Letters and parcels;Franking;;
001PST_001126000;001PST;Post Filiale 9000 St. Gallen 1 Annahme;Poste Filiale 9000 St. Gallen 1 Annahme;Posta Filiale 9000 St. Gallen 1 Annahme;Post Branch 9000 St. Gallen 1 Annahme;St. Gallen;SG;9000;CH;Bahnhofplatz 5;900001;3203;47.42262978,9.36969774;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;07:30:00.0;;"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}, {""@OfferPackageId"": ""001ZUAN""}]";;;001103001;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;;;Fotokopierer Schalterhalle;Münz-Kopierer Schalterhalle;;;Photocopieuse hall guichet;Photocopieuse à monnayeur dans le hall des guichets;;;Fotocopiatrice atrio sportelli;Fotocopiatrice a monete nell'atrio sportelli;;;Photocopier counter lobby;Coin-operated photocopier for counter area;;
001PST_001126000;001PST;Post Filiale 9000 St. Gallen 1 Annahme;Poste Filiale 9000 St. Gallen 1 Annahme;Posta Filiale 9000 St. Gallen 1 Annahme;Post Branch 9000 St. Gallen 1 Annahme;St. Gallen;SG;9000;CH;Bahnhofplatz 5;900001;3203;47.42262978,9.36969774;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;07:30:00.0;;"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}, {""@OfferPackageId"": ""001ZUAN""}]";;;001134019;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;true;false;Zusatzangebot;Tickets;;;Offres complémentaires;Tickets;;;Offerte complementari;Tickets;;;Value-added services;Tickets;;
001PST_001126000;001PST;Post Filiale 9000 St. Gallen 1 Annahme;Poste Filiale 9000 St. Gallen 1 Annahme;Posta Filiale 9000 St. Gallen 1 Annahme;Post Branch 9000 St. Gallen 1 Annahme;St. Gallen;SG;9000;CH;Bahnhofplatz 5;900001;3203;47.42262978,9.36969774;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;07:30:00.0;;"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}, {""@OfferPackageId"": ""001ZUAN""}]";;;001134035;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;false;true;Dienstleistungen GK;Annahmestelle PromoPost;http://www.post.ch/promopost;http://www.post.ch/promopost;Prestations CC;Dépôt PromoPost;http://www.poste.ch/promopost;http://www.poste.ch/promopost;Servizi CC;Punto d'accettazione PromoPost;http://www.posta.ch/promopost;http://www.posta.ch/promopost;BC services;PromoPost acceptance point;http://www.swisspost.ch/promopost;http://www.swisspost.ch/promopost
001PST_001126000;001PST;Post Filiale 9000 St. Gallen 1 Annahme;Poste Filiale 9000 St. Gallen 1 Annahme;Posta Filiale 9000 St. Gallen 1 Annahme;Post Branch 9000 St. Gallen 1 Annahme;St. Gallen;SG;9000;CH;Bahnhofplatz 5;900001;3203;47.42262978,9.36969774;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;07:30:00.0;;"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}, {""@OfferPackageId"": ""001ZUAN""}]";;;001134041;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;true;true;Briefe und Pakete;Annahme PostPac Priority bis 16 Uhr;;;Lettres et colis;Dépôt PostPac Priority jusqu'à 16 heures;;;Lettere e pacchi;Accettazione PostPac Priority entro le 16;;;Letters and parcels;Acceptance of PostPac Priority items up to 4 p.m.;;
001PST_001126000;001PST;Post Filiale 9000 St. Gallen 1 Annahme;Poste Filiale 9000 St. Gallen 1 Annahme;Posta Filiale 9000 St. Gallen 1 Annahme;Post Branch 9000 St. Gallen 1 Annahme;St. Gallen;SG;9000;CH;Bahnhofplatz 5;900001;3203;47.42262978,9.36969774;0848 888 888;0844 888 888;kundendienst@post.ch;serviceclientele@poste.ch;servizioclienti@posta.ch;custcare@post.ch;Avisierte Sendungen vom Vortag sind abholbereit ab:;Les envois faisant l'objet d'un avis de retrait établi la veille peuvent être retirés à partir de:;Gli invii con invito di ritiro del giorno precedente possono essere ritirati a partire dalle:;Consignments notified for collection on the previous day are ready for collection from:;07:30:00.0;;"[{""@OfferPackageId"": ""001BRPA""}, {""@OfferPackageId"": ""001ZAVK""}, {""@OfferPackageId"": ""001ZUAN""}]";;;001800007;Filiale;kleinere Mengen Briefe und Pakete/Sperrgut;Filiale;petits volumes, courrier et colis/encombrants;Filiale;piccole quantità di lettere e pacchi/ingombranti;Branch;small volumes, letters and parcels/bulky goods;;;Zahlungsverkehr;Change;;;Trafic des paiements;Change;;;Traffico dei pagamenti;Cambio valuta;;;Payment transactions;Currency exchange;;
